"var","var_label","notes"
"entity","Entity name","Entity label as provided by the OWID grapher export."
"code","Entity code","Code as provided by the OWID grapher export; often ISO3 for countries but may include non-ISO codes for aggregates."
"year","Calendar year","Calendar year."
"score_math_both","Average academic performance score in mathematics ( both )","Downloaded from OWID grapher dataset `academic-performance` using subject = mathematics and sex = both ."
"score_math_boys","Average academic performance score in mathematics ( boys )","Downloaded from OWID grapher dataset `academic-performance` using subject = mathematics and sex = boys ."
"score_math_girls","Average academic performance score in mathematics ( girls )","Downloaded from OWID grapher dataset `academic-performance` using subject = mathematics and sex = girls ."
"score_reading_both","Average academic performance score in reading ( both )","Downloaded from OWID grapher dataset `academic-performance` using subject = reading and sex = both ."
"score_reading_boys","Average academic performance score in reading ( boys )","Downloaded from OWID grapher dataset `academic-performance` using subject = reading and sex = boys ."
"score_reading_girls","Average academic performance score in reading ( girls )","Downloaded from OWID grapher dataset `academic-performance` using subject = reading and sex = girls ."
"score_science_both","Average academic performance score in science ( both )","Downloaded from OWID grapher dataset `academic-performance` using subject = science and sex = both ."
"score_science_boys","Average academic performance score in science ( boys )","Downloaded from OWID grapher dataset `academic-performance` using subject = science and sex = boys ."
"score_science_girls","Average academic performance score in science ( girls )","Downloaded from OWID grapher dataset `academic-performance` using subject = science and sex = girls ."
